"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Crinoidea&interval=ordovician,devonian"
"Access Time","Wed 2018-03-07 13:59:17 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Crinoidea"
"","interval","ordovician,devonian"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.412"
"Records Found","5491"
"Records Returned","5491"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"7933","occ","","","541","Eucalyptocrinites sp.","genus","31761","","Eucalyptocrinites","genus","31761","Wenlock","","433.4","427.4","13433"
"7934","occ","","","541","Homocrinus sp.","genus","31936","","Homocrinus","genus","31936","Wenlock","","433.4","427.4","13433"
"7935","occ","","","541","Lecanocrinus sp.","genus","32499","","Lecanocrinus","genus","32499","Wenlock","","433.4","427.4","13433"
"7936","occ","","","541","Lyriocrinus sp.","genus","31633","","Lyriocrinus","genus","31633","Wenlock","","433.4","427.4","13433"
"7938","occ","","","541","Myelodactylus sp.","genus","31954","","Myelodactylus","genus","31954","Wenlock","","433.4","427.4","13433"
"8857","occ","","","396","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Richmondian","","449.5","443.7","61485"
"8894","occ","","","398","Crinoidea indet.","class","31590","","Crinoidea","class","31590","Late Ordovician","","458.4","443.4","61485"
"8938","occ","","","401","Anomalocrinus sp.","genus","31882","","Anomalocrinus","genus","31882","Trentonian","","460.9","449.5","20389"
"8939","occ","","","401","Cremacrinus sp.","genus","31906","","Cremacrinus","genus","31906","Trentonian","","460.9","449.5","20389"
"8940","occ","","","401","Hybocystites sp.","genus","32018","","Hybocystites","genus","32018","Trentonian","","460.9","449.5","20389"
